type,fatalities,country,cat,year
Douglas C-47 (DC-3),15,Ecuador,A1,1950
Douglas Dakota IV (DC-3),0,Iraq,A1,1950
Douglas C-47B (DC-3),,USA,A1,1950
Consolidated PBY-5A Catalina,5,Australia,A1,1950
Lockheed XP2V-1 Neptune,4,USA,A1,1950
Short S.25 Sandringham 6,0,Norway,A1,1950
Douglas C-47A (DC-3),0,India,A1,1950
Douglas C-47D,1,USA,A1,1950
Douglas C-47D,0,USA,A1,1950
Junkers Ju-52/3m,6,Bulgaria,A1,1950
Douglas C-47A (DC-3),26,Colombia,A1,1950
Grumman G-73 Mallard,1,USA,A1,1950
Lockheed P2V-2 Neptune,0,USA,C1,1950
Douglas C-47B (DC-3),0,Brazil,A1,1950
Vickers Valetta C.1,0,Malta,A1,1950
Curtiss C-46F,1,USA,A1,1950
Douglas C-47 (DC-3),13,Brazil,A1,1950
Douglas Dakota IV (DC-3),,,A1,1950
Lockheed P2V-2 Neptune,9,USA,A1,1950
Avro 685 York C.1,0,U.K.,A1,1950
Curtiss C-46F,28,Atlantic Ocean,A1,1950
Douglas DC-3-178,15,Colombia,A1,1950
Douglas C-47D,1,USA,A1,1950
Douglas C-47A (DC-3),0,Argentina,A1,1950
Douglas DC-4-1009,46,Bahrain,A1,1950
Junkers Ju-52/3m,7,Madagascar,A1,1950
Douglas DC-4-1009,40,Bahrain,A1,1950
Curtiss C-46F,0,Mexico,A1,1950
Douglas C-47B (DC-3),1,USA,A1,1950
Douglas DC-4,58,USA,A1,1950
Douglas C-54D (DC-4),0,South Korea,A1,1950
Douglas DC-4-1009,29,Australia,A1,1950
Consolidated KM-2 (PBN-1 Nomad),2,Russia,A1,1950
Fairchild C-119C Flying Boxcar,4,USA,A1,1950
Fairchild C-119B Flying Boxcar,0,USA,A1,1950
Douglas C-47 (DC-3),0,Venezuela,A1,1950
SNCASE SE.2010 Armagnac,3,France,A1,1950
Douglas C-54G (DC-4),23,South Korea,A1,1950
Consolidated C-10A Catalina (PBY-5A),2,Brazil,A1,1950
Douglas C-47A (DC-3),22,Morocco,A1,1950
Douglas C-47 (DC-3),0,South Korea,C1,1950
Douglas C-47B (DC-3),,South Korea,A1,1950
Douglas C-47A (DC-3),22,India,A1,1950
Douglas C-47A (DC-3),12,Angola,A1,1950
Short Sunderland GR.5,0,Japan,O1,1950
Ilyushin Il-12P,4,Georgia,A1,1950
Fairchild C-82A Packet,,USA,A1,1950
Curtiss C-46D,39,USA,A1,1950
CASA 352 (Ju-52),,,U1,1950
Douglas C-47A (DC-3),3,Israel,C2,1950
Douglas C-47D,25,Japan,A1,1950
Lockheed L-049 Constellation,51,Brazil,A1,1950
Bristol 170 Freighter 21,26,Algeria,A1,1950
Douglas C-54D (DC-4),6,USA,A1,1950
Douglas DC-3C,1,Slovakia,A1,1950
Curtiss C-46F,0,USA,A1,1950
SNCASE SE.161/P7 Languedoc,0,France,A1,1950
Ilyushin Il-12,25,Kazakhstan,A1,1950
Lockheed 18 Lodestar,12,Brazil,A1,1950
Handley Page Hastings C.1,0,U.K.,A1,1950
Fairchild C-82A Packet,0,USA,A1,1950
Douglas C-47D,0,USA,A1,1950
Curtiss R5C-1 (C-46),0,USA,A1,1950
Douglas C-47A (DC-3),0,Slovakia,A1,1950
unknown,0,Germany,H2,1950
Ilyushin Il-12P,2,Russia,A1,1950
Lisunov Li-2,5,Russia,A1,1950
Lockheed P2V-3 Neptune,0,North Korea,C1,1950
Douglas DC-6,1,USA,A2,1950
Douglas C-47 (DC-3),0,Colombia,A1,1950
Douglas C-47B (DC-3),,South Korea,A1,1950
Douglas Dakota IV (DC-3),12,Malaysia,A1,1950
Consolidated PBY-5A Catalina,,USA,A1,1950
Douglas C-47 (DC-3),0,Colombia,A1,1950
Douglas Dakota IV (DC-3),9,Pacific Ocean,A1,1950
Lockheed L-749A Constellation,55,Egypt,A1,1950
Fairchild C-119C Flying Boxcar,7,USA,A1,1950
Douglas DC-3-229,16,USA,A1,1950
Martin 2-0-2,0,USA,A2,1950
Douglas C-54D (DC-4),11,Japan,A1,1950
Curtiss C-46A,0,Brazil,A1,1950
Douglas R5D-3 (DC-4),0,U.S. M.O. Islands,A1,1950
Lockheed 18 Lodestar,3,USA,A1,1950
Douglas C-47 (DC-3),,Vietnam,A1,1950
Douglas C-47A (DC-3),5,USA,A1,1950
Fairchild C-119B Flying Boxcar,,Japan,A1,1950
Douglas C-54B (DC-4),0,Iceland,A1,1950
Douglas C-47A (DC-3),9,Iran,A1,1950
Fairchild C-119C Flying Boxcar,,Japan,A1,1950
Short Sunderland GR.5,0,U.K.,O1,1950
Douglas R5D-3 (DC-4),26,Marshall Isl.,A1,1950
Douglas C-47A (DC-3),10,Croatia,A1,1950
Vickers Valetta C.1,0,Yemen,A1,1950
Fairchild C-119B Flying Boxcar,0,Japan,O1,1950
Douglas C-47A (DC-3),,India,A1,1950
Douglas C-54D (DC-4),23,Japan,A1,1950
Lockheed P2V Neptune,0,North Korea,A1,1950
Vickers 615 Viking 1B,0,Argentina,O1,1950
Curtiss C-46D,0,Japan,A1,1950
CASA 352 (Ju-52),5,Spain,A1,1950
Grumman G-73 Mallard,1,USA,A1,1950
Curtiss C-46,,Bolivia,U1,1950
Curtiss C-46F,0,USA,A2,1950
Short Sunderland GR.5,0,Sri Lanka,A1,1950
Bristol 170 Freighter 21,0,U.K.,A2,1950
Lisunov Li-2,0,Russia,A1,1950
Douglas C-47A (DC-3),2,Australia,A1,1950
Fairchild C-119B-10-FA Flying Boxcar,3,Japan,A1,1950
Douglas C-47A (DC-3),0,Venezuela,A1,1950
Martin 2-0-2,6,USA,A1,1950
Douglas C-47A (DC-3),4,Morocco,A1,1950
Douglas VC-47D (DC-3),4,USA,A1,1950
Douglas C-47A (DC-3),4,Pacific Ocean,A1,1950
Lisunov Li-2,0,Kazakhstan,A1,1950
Douglas C-47A (DC-3),28,U.K.,A1,1950
Douglas C-47B (DC-3),,Saudi Arabia,A1,1950
Douglas C-47A (DC-3),,USA,A1,1950
Avro 685 York C.1,0,Singapore,A1,1950
Douglas C-47B (DC-3),4,USA,A1,1950
Douglas C-47B (DC-3),0,Arctic Ocean,A1,1950
Lockheed P2V-3W Neptune,0,Japan,A1,1950
Vickers 610 Viking 1B,28,U.K.,A1,1950
Fairchild C-119C Flying Boxcar,0,USA,A1,1950
Lockheed L-749 Constellation,48,France,A1,1950
Douglas DC-3 (R4D-1),0,Brazil,A1,1950
Douglas SC-47D,,Japan,A1,1950
Douglas C-47B (DC-3),,Australia,A1,1950
Martin 2-0-2,21,USA,A1,1950
Curtiss C-46D,0,Bolivia,A1,1950
Douglas C-47D,,USA,A1,1950
Douglas C-54D (DC-4),3,North Korea,A1,1950
Fairchild C-119C Flying Boxcar,,South Korea,A1,1950
Douglas TS-62 (DC-3),2,Russia,A1,1950
Douglas C-47 (DC-3),0,Mexico,A1,1950
Fairchild C-82A Packet,4,USA,A1,1950
Douglas C-47B (DC-3),4,Turkey,A1,1950
Douglas C-54B (DC-4),58,France,A1,1950
Curtiss C-46,0,Bolivia,A1,1950
Lisunov Li-2P,,Romania,A1,1950
Douglas C-47B (DC-3),0,New Zealand,A1,1950
Douglas C-47A (DC-3),2,Indonesia,A1,1950
Fairchild C-82A Packet,0,USA,A1,1950
Lockheed L-049 Constellation,0,USA,A2,1950
Douglas C-54D (DC-4),0,North Korea,A1,1950
Douglas C-47D (DC-3),3,North Korea,A1,1950
Fairchild C-82A Packet,0,Germany,A1,1950
Douglas DC-3C,21,USA,A1,1950
Douglas C-47B (DC-3),9,Peru,A1,1950
Curtiss C-46D,0,Colombia,A1,1950
Douglas C-47A (DC-3),3,Bhutan,A1,1950
Douglas DC-3A,0,Cuba,A1,1950
Lockheed P2V-2 Neptune,5,USA,A1,1950
Douglas C-47B (DC-3),15,Indonesia,A1,1950
Douglas C-47A (DC-3),8,Iran,A1,1950
Douglas R4D-6 (DC-3),0,North Korea,A1,1950
Douglas C-47D,0,North Korea,A1,1950
Vickers Valetta C.1,0,Egypt,A1,1950
Douglas C-47B (DC-3),0,South Korea,A1,1950
Douglas C-54A (DC-4),46,C.A.R.,A1,1950
Douglas C-47B (DC-3),5,France,A1,1950
Curtiss C-46F,1,North Korea,A1,1950
Curtiss C-46F,3,Japan,A1,1950
Curtiss C-46D,0,South Korea,A2,1950
PB2B-1 Catalina,7,Samoa,A1,1950
Boeing B-17G,4,Niger,A1,1950
Douglas DC-4-1009,0,Canada,A1,1950
Douglas C-47B (DC-3),21,India,A1,1950
Douglas C-47A (DC-3),3,Brazil,A1,1950
Douglas C-47B (DC-3),1,Brazil,A1,1950
Douglas C-47 (DC-3),31,Venezuela,A1,1950
Curtiss C-46A,0,Brazil,A1,1950
Junkers Ju-52,15,Vietnam,A1,1950
Junkers Ju-52,15,Vietnam,A1,1950
Douglas C-54E (DC-4),37,Philippines,A1,1950
Handley Page Hastings C.1,5,Libya,A1,1950
Douglas C-47A (DC-3),0,Malaysia,A1,1950
Douglas C-47A (DC-3),2,Canada,A1,1950
Lockheed P2V-3W Neptune,11,Canada,A1,1950
Douglas C-47A (DC-3),,Italy,A1,1950
Douglas C-47B (DC-3),,South Korea,A1,1950
Lisunov Li-2,8,Kazakhstan,A1,1950
Consolidated PBY-5A Catalina,3,Indonesia,A1,1950
Douglas C-47A (DC-3),14,Argentina,A1,1950
Douglas C-47A (DC-3),,Bolivia,A1,1951
Douglas C-47 (DC-3),,Canada,A1,1951
Curtiss C-46D,0,USA,A1,1951
Lockheed C-60 Lodestar,2,Spain,A1,1951
Douglas C-47A (DC-3),0,South Korea,A1,1951
Curtiss C-46D,2,South Korea,A1,1951
Curtiss C-46D,0,South Korea,O1,1951
Curtiss C-46D,0,South Korea,O1,1951
Ilyushin Il-12P,8,Russia,A1,1951
Lisunov Li-2,6,Russia,A1,1951
Douglas C-47B (DC-3),0,USA,A1,1951
Douglas VC-47D (DC-3),10,Malaysia,A1,1951
Douglas DC-4-1009,7,USA,A1,1951
Martin 2-0-2,10,USA,A1,1951
Douglas C-54D (DC-4),4,South Korea,A1,1951
Douglas C-47B (DC-3),,Canada,A1,1951
Douglas DC-3,19,Peru,A1,1951
Grumman SA-16A Albatross,,Japan,A1,1951
Fairchild C-82A Packet,,Syria,A1,1951
Lockheed P2V-4 Neptune,1,Japan,A1,1951
Consolidated PBY-5A Catalina,0,Netherlands,A1,1951
Curtiss C-46D,0,Japan,A1,1951
Curtiss C-46D,1,South Korea,A1,1951
Douglas DC-3C,0,Australia,A2,1951
Savoia-Marchetti SM-95B,14,Italy,A1,1951
Grumman G-73 Mallard,0,Indonesia,O1,1951
Shorts S.45 Solent 3,1,Malta,A1,1951
Douglas C-47A (DC-3),,USA,A1,1951
Short S.25 Sunderland GR.5,14,Taiwan,A1,1951
Lisunov Li-2,0,Kazakhstan,A1,1951
Douglas DC-3A-197D,0,Mexico,A2,1951
Douglas C-47B (DC-3),,South Korea,A1,1951
Douglas C-47A (DC-3),0,Colombia,A1,1951
Douglas C-47A (DC-3),20,Iceland,A1,1951
Douglas C-54D (DC-4),14,Portugal,A1,1951
Lisunov Li-2,2,Russia,A1,1951
Douglas DC-4-1009,29,Cameroon,A1,1951
Lockheed P2V-3W Neptune,0,USA,A1,1951
Junkers Ju-52/3m,4,Spain,A1,1951
Douglas DC-2-200,,Finland,A1,1951
Fairchild R4Q-1 Flying Boxcar (C-119C),9,USA,A1,1951
Douglas R4D-6 (DC-3),,Japan,A1,1951
Lisunov Li-2,0,Uzbekistan,A1,1951
Douglas C-47A (DC-3),0,Laos,A1,1951
Douglas C-47D (DC-3),,South Korea,A1,1951
Curtiss C-46A,2,Colombia,A1,1951
Short Sunderland GR.5,8,Tunisia,A1,1951
Vickers Valetta C.1,1,Sweden,A1,1951
Douglas R4D-5 (DC-3),,USA,A1,1951
Curtiss C-46A,0,Brazil,A1,1951
Curtiss C-46E,0,USA,A1,1951
Douglas VC-47B (DC-3),0,Norway,A1,1951
Fiat G.212,0,Italy,A1,1951
Curtiss C-46D,3,Japan,A1,1951
Convair CV-240-2,0,USA,A1,1951
Douglas DC-3A,16,USA,A1,1951
Douglas C-47B (DC-3),1,Japan,A1,1951
Douglas R5D-1 (DC-4),24,Hong Kong,A1,1951
Ilyushin Il-12P,0,Russia,A1,1951
Canadair C-54GM North Star,0,Canada,A1,1951
Lockheed L-749 Constellation,0,USA,A2,1951
Handley Page Hastings C.2,3,U.K.,A1,1951
Douglas R4D-1 (DC-3),29,Colombia,A1,1951
Douglas C-53-DO (DC-3),3,Brazil,A1,1951
Douglas C-124A Globemaster II,53,Atlantic Ocean,A1,1951
Fairchild C-119C Flying Boxcar,2,South Korea,A1,1951
Lisunov Li-2,12,Russia,A1,1951
Douglas C-54D (DC-4),,South Korea,A1,1951
Douglas C-47A (DC-3),11,Argentina,A1,1951
Douglas C-47A (DC-3),2,U.K.,A1,1951
Douglas C-47A (DC-3),0,Australia,A1,1951
Douglas C-47A (DC-3),0,USA,A1,1951
Lisunov Li-2,0,Latvia,A1,1951
Fairchild C-119B Flying Boxcar,1,South Korea,A1,1951
Vickers Valetta C.1,0,Uganda,A1,1951
Ilyushin Il-12P,3,Russia,A1,1951
Douglas C-54B (DC-4),0,Iceland,A1,1951
Douglas C-47A (DC-3),0,Sweden,A1,1951
Douglas C-48B (DC-3),0,Colombia,A1,1951
Douglas C-47A (DC-3),22,USA,A1,1951
Grumman SA-16A Albatross,0,USA,A1,1951
Douglas C-47B (DC-3),21,USA,A1,1951
Lisunov Li-2T,8,Russia,A1,1951
Douglas DC-3,16,Hong Kong,A1,1951
Handley Page HP.82 Hermes V,0,U.K.,A1,1951
Vickers Valetta C.1,0,Sudan,A1,1951
Douglas C-54D (DC-4),8,USA,A1,1951
Handley Page Hastings C.1,0,Sri Lanka,A1,1951
Douglas C-47D (DC-3),,South Korea,A1,1951
Curtiss C-46A,0,Brazil,A1,1951
Douglas C-47D (DC-3),0,USA,A1,1951
CASA 352 (Ju-52),,,U1,1951
CASA 352 (Ju-52),,,U1,1951
Antonov An-2,4,Russia,A1,1951
Douglas C-47 (DC-3),3,Colombia,A1,1951
Douglas DC-4,39,USA,A1,1951
Douglas C-47D (DC-3),,,A1,1951
Curtiss C-46A,0,Argentina,A1,1951
Douglas DC-3A-197,11,USA,A1,1951
Curtiss C-46D,0,South Korea,A1,1951
Douglas C-47D,6,North Korea,A1,1951
Douglas C-47A (DC-3),4,Argentina,A1,1951
Douglas C-47A (DC-3),,,A1,1951
Vickers Valetta C.1,8,Egypt,A1,1951
Vickers Valetta C.1,0,U.K.,A1,1951
Vickers 639 Viking 1,0,France,A1,1951
Douglas R4D-5 (DC-3),2,USA,A1,1951
Junkers Ju-52/3m,4,Spain,A1,1951
Douglas VC-47D (DC-3),2,USA,A1,1951
Amiot AAC.1 (Ju-52),3,Algeria,A1,1951
Douglas C-47A (DC-3),4,Canada,A1,1951
Douglas C-47A (DC-3),0,Brazil,A1,1951
Douglas C-47A (DC-3),,Germany,A1,1951
Douglas C-47B (DC-3),7,Brazil,A1,1951
Lockheed P2V-2 Neptune,0,USA,A1,1951
Douglas C-124A Globemaster II,7,USA,A1,1951
Fairchild C-119C Flying Boxcar,0,Japan,A1,1951
Douglas C-47D,5,South Korea,A1,1951
Douglas R5D-3 (DC-4),5,South Korea,A1,1951
Vickers Valetta C.1,0,Jordan,A1,1951
Douglas C-47B (DC-3),,USA,A1,1951
DH.86B Express,,Bahrain,A1,1951
PBV-1A Canso A (PBY-5A),2,Brazil,A1,1951
Douglas C-47A (DC-3),0,Argentina,A2,1951
Fairchild C-119C Flying Boxcar,6,South Korea,C1,1951
Fairchild C-119B Flying Boxcar,4,South Korea,C1,1951
Fairchild C-82A Packet,8,USA,A1,1951
Fairchild C-119C Flying Boxcar,4,USA,A1,1951
Douglas DC-3D,2,Brazil,A1,1951
Boeing C-97A,9,USA,A1,1951
Douglas C-47A (DC-3),0,Germany,A1,1951
Short S.25 Sandringham 4,0,Vanuatu,O1,1951
Douglas C-47A (DC-3),3,Colombia,A1,1951
Lockheed P2V-2 Neptune,7,USA,A1,1951
Martin PBM-5 Mariner,3,Philippines,A1,1951
Lockheed P2V-4 Neptune,1,USA,A1,1951
Antonov An-2,0,Russia,A1,1951
Douglas C-47A (DC-3),0,USA,A1,1951
Douglas C-47B (DC-3),2,Argentina,A2,1951
Lockheed L-049 Constellation,40,Liberia,A1,1951
Douglas C-47D (DC-3),,USA,A1,1951
Vickers Valetta C.1,0,Zambia,A1,1951
CASA 352 (Ju-52),8,Spain,A1,1951
Douglas C-47 (DC-3),0,Bolivia,A1,1951
Breguet 730,7,Morocco,A1,1951
Amiot AAC.1 (Ju-52),14,Croatia,A1,1951
Grumman G-73 Mallard,1,USA,A2,1951
Douglas DC-6,50,USA,A1,1951
Douglas C-47A (DC-3),5,USA,A1,1951
Amiot AAC.1 (Ju-52),5,Vietnam,A1,1951
Douglas C-47D,,South Korea,A1,1951
Douglas C-47 (DC-3),0,Colombia,A1,1951
Douglas C-47D (DC-3),,South Korea,A1,1951
Lockheed 18 Lodestar,0,Canada,A1,1951
Douglas C-47B (DC-3),33,Brazil,A1,1951
Douglas C-47B (DC-3),3,India,A1,1951
Vickers Valetta C.1,10,U.K.,A1,1951
Douglas C-47B (DC-3),8,Mali,A1,1951
Douglas C-54B (DC-4),0,Thailand,A1,1951
Lockheed 14-H Super Electra,4,Sweden,A1,1951
Fairchild C-119B Flying Boxcar,0,USA,A1,1951
Vickers Valetta C.1,0,Egypt,A1,1951
Douglas C-54A (DC-4),0,Madagascar,A1,1951
Lockheed L-749A Constellation,0,USA,A2,1951
Douglas C-47A (DC-3),5,Vietnam,A1,1951
Douglas DC-4,37,USA,A1,1951
Douglas DC-3-455,3,Mali,A1,1951
Amiot AAC.1 (Ju-52),,Vietnam,A1,1951
CANT Z.506S,0,Italy,A1,1951
Bristol 170 Freighter 21E,0,Nigeria,A1,1951
Curtiss C-46A,7,Bolivia,A1,1951
Douglas C-47B (DC-3),6,Vietnam,A1,1951
Douglas C-47A (DC-3),4,Brazil,A1,1951
Douglas C-47A (DC-3),2,Australia,A1,1951
Curtiss C-46F,0,Brazil,A1,1951
Curtiss C-46F,0,USA,A1,1951
Douglas DC-3D,5,France,A1,1951
Douglas C-47D (DC-3),,,A1,1951
Avro Shackleton MR.1,0,Gibraltar,A1,1951
Lisunov Li-2,2,Russia,A1,1951
Fairchild C-82A Packet,0,Germany,O1,1951
Grumman SA-16A Albatross,0,Philippines,A1,1951
Douglas C-47A (DC-3),0,Thailand,A1,1951
Antonov An-2,1,Russia,A1,1951
PB2B-1 Canso A (PBY-5A),0,Jamaica,O1,1951
Douglas C-47A (DC-3),9,USA,A1,1951
Lisunov Li-2,0,Russia,A1,1951
Douglas DC-6B,50,USA,A1,1951
Douglas C-47 (DC-3),0,India,A1,1951
Avro 685 York C.1,0,Egypt,A2,1951
Douglas C-47A (DC-3),4,USA,A1,1951
Douglas DC-6,0,Mexico,A1,1951
Convair CV-240-2,0,Jamaica,A1,1951
Lockheed P2V-3 Neptune,,USA,A1,1951
Lockheed P2V-3 Neptune,7,Atlantic Ocean,A1,1951
Douglas C-47A (DC-3),3,USA,A1,1951
Antonov An-2,5,Ukraine,A1,1951
Douglas C-47B (DC-3),13,Brazil,A1,1951
Douglas C-47D (DC-3),,Japan,A1,1951
Douglas C-47D (DC-3),,South Korea,A1,1951
Douglas DC-3,39,Mediterranean Sea,A1,1951
Boeing 377 Stratocruiser,3,USA,A1,1951
Douglas C-47B (DC-3),,,A1,1951
Douglas C-47A (DC-3),1,India,A1,1951
Curtiss C-46D,0,USA,A2,1951
Vickers Valetta C.1,4,South Sudan,A1,1951
Douglas C-47 (DC-3),10,Brazil,A1,1951
Lockheed P2V-4 Neptune,,USA,A1,1951
Antonov An-2,0,Russia,A1,1951
Bristol 170 Freighter IA,4,Argentina,A1,1951
Douglas C-47B (DC-3),,,U1,1951
Douglas C-47A (DC-3),6,Czech Rep.,A1,1951
Fairchild C-119C Flying Boxcar,14,Japan,A1,1951
Curtiss C-46D,11,Japan,A1,1951
Curtiss C-46D,0,Bolivia,A1,1951
Douglas C-47A (DC-3),7,South Korea,A1,1951
Lisunov Li-2,6,Russia,A1,1951
Douglas C-47 (DC-3),5,Turkey,A1,1951
Lockheed 18 Lodestar,3,USA,A1,1951
Douglas C-47A (DC-3),10,Mexico,A1,1951
Consolidated PBY-5A Catalina,1,Colombia,A1,1951
Douglas C-47D (DC-3),,USA,A1,1951
Consolidated C-10A Catalina (PBY-5A),4,Brazil,A1,1951
Lisunov Li-2,1,Russia,A1,1951
Short Sunderland GR.5,0,Japan,O1,1951
Lockheed P2V-3 Neptune,0,Japan,A1,1951
Douglas C-47A (DC-3),17,South Africa,A1,1951
Boeing C-97A,12,Atlantic Ocean,A1,1951
Consolidated Canso A,23,Canada,A1,1951
Douglas DC-3,0,Switzerland,H2,1951
Douglas C-47A (DC-3),,Canada,U1,1951
Grumman SA-16A Albatross,5,Bahamas,A1,1951
Douglas C-47B (DC-3),0,USA,A1,1951
CASA 352 (Ju-52),,,U1,1951
Douglas C-47A (DC-3),12,North Macedonia,A1,1951
Boeing C-97A,4,USA,A1,1951
Douglas Dakota IV (DC-3),,U.K.,A1,1951
Avro 689 Tudor 5,0,U.K.,A1,1951
Douglas C-47 (DC-3),26,Guatemala,A1,1951
SNCASO SO.30P Bretagne,0,France,A1,1951
Douglas C-47A (DC-3),6,USA,A1,1951
Lisunov Li-2,0,Russia,A1,1951
Douglas C-47B (DC-3),,USA,A1,1951
Martin 2-0-2,1,USA,A1,1951
Douglas C-47 (DC-3),0,Vietnam,A1,1951
Lockheed P2V-3W Neptune,10,Russia,C1,1951
Douglas C-47A (DC-3),0,Chad,A1,1951
Douglas C-47D (DC-3),5,USA,A1,1951
Douglas C-47D (DC-3),,Japan,A1,1951
Douglas DC-3C,0,USA,A2,1951
Vickers 615 Viking 1B,,Argentina,A1,1951
CASA 352 (Ju-52),2,Spain,A1,1951
Fairchild C-82A Packet,36,France,A1,1951
Ilyushin Il-12P,0,Russia,A1,1951
Douglas C-47A (DC-3),0,India,A1,1951
Lisunov Li-2P,16,Poland,A1,1951
Short Sunderland GR.5,2,U.K.,A1,1951
Ilyushin Il-12P,23,Russia,A1,1951
Douglas C-54D (DC-4),3,USA,A1,1951
Douglas DC-4,0,USA,A2,1951
Douglas C-53-DO (DC-3),5,Egypt,A1,1951
Douglas C-47A (DC-3),0,Hungary,C2,1951
Douglas C-47B (DC-3),4,Turkey,A1,1951
Douglas C-47A (DC-3),16,India,A1,1951
Douglas DC-4,6,Switzerland,A1,1951
Bristol 170 Freighter 21E,7,Turkey,A1,1951
Douglas DC-2-243,13,Mexico,A1,1951
Douglas DC-3-201C,0,USA,A2,1951
Douglas C-47 (DC-3),0,Italy,A1,1951
Lisunov Li-2,0,Ukraine,A1,1951
Lisunov Li-2T,,Poland,U1,1951
Douglas DC-3A,3,USA,A1,1951
Grumman G-73 Mallard,0,Canada,A1,1951
Douglas C-47D (DC-3),5,USA,A1,1951
Douglas C-47A (DC-3),10,France,A1,1951
Fairchild C-119B Flying Boxcar,4,Japan,A1,1951
Lockheed P2V-5 Neptune,,USA,A1,1951
Douglas DC-4-1009,0,Netherlands,A1,1951
Curtiss C-46F,56,USA,A1,1951
Curtiss C-46E,0,Canada,A2,1951
Short Sunderland GR.5,0,U.K.,O1,1951
SNCASE SE.161 Languedoc,22,Iran,A1,1951
Douglas C-47A (DC-3),1,Philippines,A2,1951
Douglas C-47A (DC-3),4,Bahamas,A1,1951
Douglas DC-6,0,Italy,A1,1951
Douglas C-47A (DC-3),,Turkey,A1,1951
Douglas C-47A (DC-3),6,Turkey,A1,1951
Douglas VC-47A (DC-3),8,USA,A1,1951
Lockheed P2V-3 Neptune,2,Pacific Ocean,A1,1951
Lisunov Li-2,20,Russia,A1,1951
Douglas C-47B (DC-3),4,Japan,A1,1951
Curtiss C-46A,26,USA,A1,1951
Curtiss C-46F,4,USA,A1,1951
Douglas VC-47D (DC-3),28,USA,A1,1951
Douglas C-47A (DC-3),3,India,A1,1951
Amiot AAC.1 (Ju-52),6,Madagascar,A1,1952
Vickers Valetta C.1,0,Singapore,A1,1952
Consolidated PBY-5A Catalina,0,Cayman Isl.,A1,1952
Fairchild C-119C Flying Boxcar,0,USA,A1,1952
Lockheed P2V-2 Neptune,1,U.K.,A1,1952
Douglas C-47A (DC-3),6,U.K.,A1,1952
Lisunov Li-2,3,Russia,A1,1952
Douglas C-47B (DC-3),23,U.K.,A1,1952
Douglas C-47A (DC-3),2,USA,A1,1952
Douglas C-47B (DC-3),5,USA,A2,1952
Convair CV-240-13,0,USA,A1,1952
Fairchild C-119C Flying Boxcar,3,South Korea,A1,1952
Grumman SA-16A Albatross,0,South Korea,A1,1952
Vickers Valetta C.1,0,Egypt,A1,1952
Douglas C-54E (DC-4),36,Canada,A1,1952
Curtiss C-46D,,South Korea,A1,1952
Convair CV-240-0,30,USA,A1,1952
Lockheed 18 Lodestar,5,USA,A1,1952
Douglas C-47 (DC-3),8,Taiwan,A1,1952
Grumman SA-16A Albatross,0,USA,A1,1952
Douglas C-54A (DC-4),0,Italy,A1,1952
Lockheed 18 Lodestar,0,USA,A1,1952
Fairchild C-82A Packet,3,Germany,A1,1952
Curtiss C-46D,,Japan,A1,1952
Douglas C-47A (DC-3),16,D.R. Congo,A1,1952
Douglas C-47A (DC-3),0,India,A1,1952
Curtiss C-46D,4,USA,A1,1952
Douglas DC-6,33,USA,A1,1952
Douglas C-47D (DC-3),,South Korea,A1,1952
Douglas C-47D (DC-3),,,A1,1952
Vickers 614 Viking 1,31,Italy,A1,1952
Lockheed P2V-3W Neptune,,USA,A1,1952
Douglas C-47A (DC-3),3,India,A1,1952
Consolidated LB.30 Liberator II,8,Cameroon,A1,1952
Curtiss C-46D,10,South Korea,A1,1952
Vickers Valetta C.1,0,Sudan,A1,1952
Curtiss C-46A,0,Brazil,A1,1952
Ilyushin Il-12,1,Russia,A2,1952
Douglas C-47A (DC-3),0,USA,A1,1952
Vickers Valetta C.1,0,U.K.,A1,1952
Douglas C-47 (DC-3),0,India,A1,1952
Douglas DC-3A-393,9,Brazil,A1,1952
Douglas VC-47D (DC-3),0,Canada,A1,1952
CASA 352 (Ju-52),3,Spain,A1,1952
SNCASE SE.161/P7 Languedoc,38,France,A1,1952
Vickers Valetta C.1,0,Malaysia,A1,1952
Douglas C-47A (DC-3),8,Switzerland,A1,1952
Douglas C-47A (DC-3),,Turkey,U1,1952
Douglas C-47A (DC-3),3,Philippines,A1,1952
Douglas C-47A (DC-3),0,France,A1,1952
Douglas C-47D (DC-3),0,USA,A1,1952
Avro 685 York I,0,Germany,A1,1952
Vickers Varsity T.1,3,U.K.,A1,1952
Douglas VC-47D (DC-3),,,A1,1952
Amiot AAC.1 (Ju-52),3,Algeria,A1,1952
Douglas C-47D (DC-3),5,USA,A1,1952
Handley Page Hastings C.1,0,Egypt,A1,1952
Short Sunderland MR.5,0,U.K.,A1,1952
Convair CV-240-23,0,Indonesia,A2,1952
Douglas C-47A (DC-3),0,Indonesia,A2,1952
Curtiss R-5C-1 (C-46),2,USA,A1,1952
Douglas C-47 (DC-3),4,Canada,A1,1952
Douglas DC-6,45,Germany,A1,1952
Lockheed L-749A-79-33 Constellation,0,Thailand,A1,1952
Lockheed 18 Lodestar,17,Mali,A1,1952
Douglas SC-47A,,Greenland,A1,1952
Douglas C-54A (DC-4),0,USA,A1,1952
Douglas R4D-5 (DC-3),0,Arctic Ocean,A2,1952
Douglas DC-3,12,Venezuela,A1,1952
Douglas C-47A (DC-3),10,Philippines,A1,1952
Douglas C-47A (DC-3),0,France,A1,1952
